Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016]
Belarus,BLR,Number of under-five deaths,SH.DTH.MORT,567,..
Belarus,BLR,"Population, total",SP.POP.TOTL,9513000,9489000
Belarus,BLR,Rural population,SP.RUR.TOTL,2219668,2178000
Belarus,BLR,Urban population,SP.URB.TOTL,7293332,7311000
Belarus,BLR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Australia,AUS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Australia,AUS,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Australia,AUS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3,..
Australia,AUS,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,3.8,..
Australia,AUS,Number of infant deaths,SH.DTH.IMRT,896,..
Australia,AUS,Number of neonatal deaths,SH.DTH.NMRT,657,..
Australia,AUS,Number of under-five deaths,SH.DTH.MORT,1146,..
Australia,AUS,"Population, total",SP.POP.TOTL,23781169,24106000
Australia,AUS,Rural population,SP.RUR.TOTL,2515334,2518000
Australia,AUS,Urban population,SP.URB.TOTL,21265835,21588000
Australia,AUS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Albania,ALB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Albania,ALB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.5,..
Albania,ALB,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,14,..
Albania,ALB,Number of infant deaths,SH.DTH.IMRT,564,..
Albania,ALB,Number of neonatal deaths,SH.DTH.NMRT,279,..
Albania,ALB,Number of under-five deaths,SH.DTH.MORT,618,..
Albania,ALB,"Population, total",SP.POP.TOTL,2889167,2897000
Albania,ALB,Rural population,SP.RUR.TOTL,1230583,1206000
Albania,ALB,Urban population,SP.URB.TOTL,1658584,1691000
Albania,ALB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Algeria,DZA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Algeria,DZA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,21.9,..
Algeria,DZA,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,25.5,..
Algeria,DZA,Number of infant deaths,SH.DTH.IMRT,20899,..
Algeria,DZA,Number of neonatal deaths,SH.DTH.NMRT,14773,..
Algeria,DZA,Number of under-five deaths,SH.DTH.MORT,24269,..
Algeria,DZA,"Population, total",SP.POP.TOTL,39666519,40376000
Algeria,DZA,Rural population,SP.RUR.TOTL,11611580,11586000
Algeria,DZA,Urban population,SP.URB.TOTL,28054939,28790000
Algeria,DZA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
American Samoa,ASM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
American Samoa,ASM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
American Samoa,ASM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..
American Samoa,ASM,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,..,..
American Samoa,ASM,Number of infant deaths,SH.DTH.IMRT,..,..
American Samoa,ASM,Number of neonatal deaths,SH.DTH.NMRT,..,..
American Samoa,ASM,Number of under-five deaths,SH.DTH.MORT,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,55538,56000
American Samoa,ASM,Rural population,SP.RUR.TOTL,7108,7000
American Samoa,ASM,Urban population,SP.URB.TOTL,48430,48000
American Samoa,ASM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Andorra,ADO,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Andorra,ADO,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Andorra,ADO,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.1,..
Andorra,ADO,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2.8,..
Andorra,ADO,Number of infant deaths,SH.DTH.IMRT,2,..
Andorra,ADO,Number of neonatal deaths,SH.DTH.NMRT,1,..
Andorra,ADO,Number of under-five deaths,SH.DTH.MORT,2,..
Andorra,ADO,"Population, total",SP.POP.TOTL,70473,69000
Andorra,ADO,Rural population,SP.RUR.TOTL,10490,11000
Andorra,ADO,Urban population,SP.URB.TOTL,59983,59000
Andorra,ADO,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Angola,AGO,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Angola,AGO,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Angola,AGO,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,96,..
Angola,AGO,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,156.9,..
Angola,AGO,Number of infant deaths,SH.DTH.IMRT,104291,..
Angola,AGO,Number of neonatal deaths,SH.DTH.NMRT,53164,..
Angola,AGO,Number of under-five deaths,SH.DTH.MORT,169310,..
Angola,AGO,"Population, total",SP.POP.TOTL,25021974,25831000
Angola,AGO,Rural population,SP.RUR.TOTL,13999794,14254000
Angola,AGO,Urban population,SP.URB.TOTL,11022180,11577000
Angola,AGO,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Antigua and Barbuda,ATG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Antigua and Barbuda,ATG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Antigua and Barbuda,ATG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.8,..
Antigua and Barbuda,ATG,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,8.1,..
Antigua and Barbuda,ATG,Number of infant deaths,SH.DTH.IMRT,9,..
Antigua and Barbuda,ATG,Number of neonatal deaths,SH.DTH.NMRT,7,..
Antigua and Barbuda,ATG,Number of under-five deaths,SH.DTH.MORT,12,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91818,93000
Antigua and Barbuda,ATG,Rural population,SP.RUR.TOTL,69990,71000
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,21828,22000
Antigua and Barbuda,ATG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Arab World,ARB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Arab World,ARB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Arab World,ARB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,27.9834851149265,..
Arab World,ARB,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,36.764145085562,..
Arab World,ARB,Number of infant deaths,SH.DTH.IMRT,..,..
Arab World,ARB,Number of neonatal deaths,SH.DTH.NMRT,..,..
Arab World,ARB,Number of under-five deaths,SH.DTH.MORT,..,..
Arab World,ARB,"Population, total",SP.POP.TOTL,392022276,399904000
Arab World,ARB,Rural population,SP.RUR.TOTL,165348390,167617000
Arab World,ARB,Urban population,SP.URB.TOTL,226673886,232288000
Arab World,ARB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Argentina,ARG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Argentina,ARG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Argentina,ARG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.1,..
Argentina,ARG,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,12.5,..
Argentina,ARG,Number of infant deaths,SH.DTH.IMRT,8464,..
Argentina,ARG,Number of neonatal deaths,SH.DTH.NMRT,4797,..
Argentina,ARG,Number of under-five deaths,SH.DTH.MORT,9513,..
Argentina,ARG,"Population, total",SP.POP.TOTL,43416755,43847000
Argentina,ARG,Rural population,SP.RUR.TOTL,3581448,3555000
Argentina,ARG,Urban population,SP.URB.TOTL,39835307,40293000
Argentina,ARG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Armenia,ARM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Armenia,ARM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Armenia,ARM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.6,..
Armenia,ARM,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,14.1,..
Armenia,ARM,Number of infant deaths,SH.DTH.IMRT,513,..
Armenia,ARM,Number of neonatal deaths,SH.DTH.NMRT,301,..
Armenia,ARM,Number of under-five deaths,SH.DTH.MORT,577,..
Armenia,ARM,"Population, total",SP.POP.TOTL,3017712,3026000
Armenia,ARM,Rural population,SP.RUR.TOTL,1126421,1133000
Armenia,ARM,Urban population,SP.URB.TOTL,1891291,1893000
Armenia,ARM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Aruba,ABW,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Aruba,ABW,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Aruba,ABW,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..
Aruba,ABW,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,..,..
Aruba,ABW,Number of infant deaths,SH.DTH.IMRT,..,..
Aruba,ABW,Number of neonatal deaths,SH.DTH.NMRT,..,..
Aruba,ABW,Number of under-five deaths,SH.DTH.MORT,..,..
Aruba,ABW,"Population, total",SP.POP.TOTL,103889,104000
Aruba,ABW,Rural population,SP.RUR.TOTL,60746,61000
Aruba,ABW,Urban population,SP.URB.TOTL,43143,43000
Aruba,ABW,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Austria,AUT,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Austria,AUT,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Austria,AUT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.9,..
Austria,AUT,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,3.5,..
Austria,AUT,Number of infant deaths,SH.DTH.IMRT,239,..
Austria,AUT,Number of neonatal deaths,SH.DTH.NMRT,173,..
Austria,AUT,Number of under-five deaths,SH.DTH.MORT,288,..
Austria,AUT,"Population, total",SP.POP.TOTL,8611088,8634000
Austria,AUT,Rural population,SP.RUR.TOTL,2930525,2933000
Austria,AUT,Urban population,SP.URB.TOTL,5680563,5701000
Austria,AUT,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Azerbaijan,AZE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Azerbaijan,AZE,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Azerbaijan,AZE,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,27.9,..
Azerbaijan,AZE,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,31.7,..
Azerbaijan,AZE,Number of infant deaths,SH.DTH.IMRT,6519,..
Azerbaijan,AZE,Number of neonatal deaths,SH.DTH.NMRT,4267,..
Azerbaijan,AZE,Number of under-five deaths,SH.DTH.MORT,7206,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9651349,9760000
Azerbaijan,AZE,Rural population,SP.RUR.TOTL,4379782,4402000
Azerbaijan,AZE,Urban population,SP.URB.TOTL,5271567,5358000
Azerbaijan,AZE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
"Bahamas, The",BHS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
"Bahamas, The",BHS,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
"Bahamas, The",BHS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,9.9,..
"Bahamas, The",BHS,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,12.1,..
"Bahamas, The",BHS,Number of infant deaths,SH.DTH.IMRT,57,..
"Bahamas, The",BHS,Number of neonatal deaths,SH.DTH.NMRT,40,..
"Bahamas, The",BHS,Number of under-five deaths,SH.DTH.MORT,70,..
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,388019,393000
"Bahamas, The",BHS,Rural population,SP.RUR.TOTL,66452,67000
"Bahamas, The",BHS,Urban population,SP.URB.TOTL,321567,326000
"Bahamas, The",BHS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Bahrain,BHR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Bahrain,BHR,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Bahrain,BHR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.3,..
Bahrain,BHR,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,6.2,..
Bahrain,BHR,Number of infant deaths,SH.DTH.IMRT,115,..
Bahrain,BHR,Number of neonatal deaths,SH.DTH.NMRT,24,..
Bahrain,BHR,Number of under-five deaths,SH.DTH.MORT,135,..
Bahrain,BHR,"Population, total",SP.POP.TOTL,1377237,1397000
Bahrain,BHR,Rural population,SP.RUR.TOTL,154595,156000
Bahrain,BHR,Urban population,SP.URB.TOTL,1222642,1241000
Bahrain,BHR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Barbados,BRB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Barbados,BRB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Barbados,BRB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12,..
Barbados,BRB,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,13,..
Barbados,BRB,Number of infant deaths,SH.DTH.IMRT,41,..
Barbados,BRB,Number of neonatal deaths,SH.DTH.NMRT,27,..
Barbados,BRB,Number of under-five deaths,SH.DTH.MORT,44,..
Barbados,BRB,"Population, total",SP.POP.TOTL,284215,285000
Barbados,BRB,Rural population,SP.RUR.TOTL,194758,195000
Barbados,BRB,Urban population,SP.URB.TOTL,89457,90000
Barbados,BRB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Belgium,BEL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Belgium,BEL,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Belgium,BEL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.3,..
Belgium,BEL,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,4.1,..
Belgium,BEL,Number of infant deaths,SH.DTH.IMRT,417,..
Belgium,BEL,Number of neonatal deaths,SH.DTH.NMRT,278,..
Belgium,BEL,Number of under-five deaths,SH.DTH.MORT,522,..
Belgium,BEL,"Population, total",SP.POP.TOTL,11285721,11355000
Belgium,BEL,Rural population,SP.RUR.TOTL,241740,239000
Belgium,BEL,Urban population,SP.URB.TOTL,11043981,11116000
Belgium,BEL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Belize,BLZ,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Belize,BLZ,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Belize,BLZ,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.2,..
Belize,BLZ,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,16.5,..
Belize,BLZ,Number of infant deaths,SH.DTH.IMRT,120,..
Belize,BLZ,Number of neonatal deaths,SH.DTH.NMRT,70,..
Belize,BLZ,Number of under-five deaths,SH.DTH.MORT,138,..
Belize,BLZ,"Population, total",SP.POP.TOTL,359287,367000
Belize,BLZ,Rural population,SP.RUR.TOTL,201298,206000
Belize,BLZ,Urban population,SP.URB.TOTL,157989,161000
Belize,BLZ,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Benin,BEN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Benin,BEN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Benin,BEN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,64.2,..
Benin,BEN,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,99.5,..
Benin,BEN,Number of infant deaths,SH.DTH.IMRT,24069,..
Benin,BEN,Number of neonatal deaths,SH.DTH.NMRT,11955,..
Benin,BEN,Number of under-five deaths,SH.DTH.MORT,37092,..
Benin,BEN,"Population, total",SP.POP.TOTL,10879829,11167000
Benin,BEN,Rural population,SP.RUR.TOTL,6098144,6209000
Benin,BEN,Urban population,SP.URB.TOTL,4781685,4957000
Benin,BEN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Bermuda,BMU,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Bermuda,BMU,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Bermuda,BMU,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..
Bermuda,BMU,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,..,..
Bermuda,BMU,Number of infant deaths,SH.DTH.IMRT,..,..
Bermuda,BMU,Number of neonatal deaths,SH.DTH.NMRT,..,..
Bermuda,BMU,Number of under-five deaths,SH.DTH.MORT,..,..
Bermuda,BMU,"Population, total",SP.POP.TOTL,65235,..
Bermuda,BMU,Rural population,SP.RUR.TOTL,0,..
Bermuda,BMU,Urban population,SP.URB.TOTL,65235,..
Bermuda,BMU,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Bhutan,BTN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Bhutan,BTN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Bhutan,BTN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,27.2,..
Bhutan,BTN,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,32.9,..
Bhutan,BTN,Number of infant deaths,SH.DTH.IMRT,335,..
Bhutan,BTN,Number of neonatal deaths,SH.DTH.NMRT,226,..
Bhutan,BTN,Number of under-five deaths,SH.DTH.MORT,414,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,774830,784000
Bhutan,BTN,Rural population,SP.RUR.TOTL,475405,475000
Bhutan,BTN,Urban population,SP.URB.TOTL,299425,309000
Bhutan,BTN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Bolivia,BOL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Bolivia,BOL,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Bolivia,BOL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,30.6,..
Bolivia,BOL,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,38.4,..
Bolivia,BOL,Number of infant deaths,SH.DTH.IMRT,7504,..
Bolivia,BOL,Number of neonatal deaths,SH.DTH.NMRT,4823,..
Bolivia,BOL,Number of under-five deaths,SH.DTH.MORT,9415,..
Bolivia,BOL,"Population, total",SP.POP.TOTL,10724705,10888000
Bolivia,BOL,Rural population,SP.RUR.TOTL,3376995,3385000
Bolivia,BOL,Urban population,SP.URB.TOTL,7347710,7503000
Bolivia,BOL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Bosnia and Herzegovina,BIH,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Bosnia and Herzegovina,BIH,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Bosnia and Herzegovina,BIH,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.1,..
Bosnia and Herzegovina,BIH,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,5.4,..
Bosnia and Herzegovina,BIH,Number of infant deaths,SH.DTH.IMRT,159,..
Bosnia and Herzegovina,BIH,Number of neonatal deaths,SH.DTH.NMRT,124,..
Bosnia and Herzegovina,BIH,Number of under-five deaths,SH.DTH.MORT,169,..
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3810416,3802000
Bosnia and Herzegovina,BIH,Rural population,SP.RUR.TOTL,2295128,2284000
Bosnia and Herzegovina,BIH,Urban population,SP.URB.TOTL,1515288,1519000
Bosnia and Herzegovina,BIH,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Botswana,BWA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Botswana,BWA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Botswana,BWA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,34.8,..
Botswana,BWA,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,43.6,..
Botswana,BWA,Number of infant deaths,SH.DTH.IMRT,2007,..
Botswana,BWA,Number of neonatal deaths,SH.DTH.NMRT,1268,..
Botswana,BWA,Number of under-five deaths,SH.DTH.MORT,2488,..
Botswana,BWA,"Population, total",SP.POP.TOTL,2262485,2304000
Botswana,BWA,Rural population,SP.RUR.TOTL,962823,974000
Botswana,BWA,Urban population,SP.URB.TOTL,1299662,1330000
Botswana,BWA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Brazil,BRA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Brazil,BRA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Brazil,BRA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.6,..
Brazil,BRA,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,16.4,..
Brazil,BRA,Number of infant deaths,SH.DTH.IMRT,46995,..
Brazil,BRA,Number of neonatal deaths,SH.DTH.NMRT,28604,..
Brazil,BRA,Number of under-five deaths,SH.DTH.MORT,52415,..
Brazil,BRA,"Population, total",SP.POP.TOTL,207847528,209568000
Brazil,BRA,Rural population,SP.RUR.TOTL,29749217,29480000
Brazil,BRA,Urban population,SP.URB.TOTL,178098311,180088000
Brazil,BRA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
British Virgin Islands,VGB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
British Virgin Islands,VGB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
British Virgin Islands,VGB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..
British Virgin Islands,VGB,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,..,..
British Virgin Islands,VGB,Number of infant deaths,SH.DTH.IMRT,..,..
British Virgin Islands,VGB,Number of neonatal deaths,SH.DTH.NMRT,..,..
British Virgin Islands,VGB,Number of under-five deaths,SH.DTH.MORT,..,..
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30117,31000
British Virgin Islands,VGB,Rural population,SP.RUR.TOTL,16207,17000
British Virgin Islands,VGB,Urban population,SP.URB.TOTL,13910,14000
British Virgin Islands,VGB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Brunei Darussalam,BRN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Brunei Darussalam,BRN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
Brunei Darussalam,BRN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.6,..
Brunei Darussalam,BRN,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,10.2,..
Brunei Darussalam,BRN,Number of infant deaths,SH.DTH.IMRT,66,..
Brunei Darussalam,BRN,Number of neonatal deaths,SH.DTH.NMRT,33,..
Brunei Darussalam,BRN,Number of under-five deaths,SH.DTH.MORT,77,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,423188,429000
Brunei Darussalam,BRN,Rural population,SP.RUR.TOTL,96478,96000
Brunei Darussalam,BRN,Urban population,SP.URB.TOTL,326710,332000
Brunei Darussalam,BRN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,..,..
Bulgaria,BGR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..,..
Bulgaria,BGR,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..,..
