Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Georgia,GEO,9600
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Germany,DEU,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Ghana,GHA,270000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Gibraltar,GIB,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Greece,GRC,16000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Greenland,GRL,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Grenada,GRD,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Guam,GUM,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Guatemala,GTM,55000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Guinea,GIN,120000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Guinea-Bissau,GNB,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Guyana,GUY,7800
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Haiti,HTI,130000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Heavily indebted poor countries (HIPC),HPC,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,High income,HIC,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Honduras,HND,20000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Hong Kong SAR, China",HKG,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Hungary,HUN,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Iceland,ISL,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,India,IND,2100000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Indonesia,IDN,690000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Iran, Islamic Rep.",IRN,73000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Iraq,IRQ,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Ireland,IRL,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Isle of Man,IMY,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Israel,ISR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Italy,ITA,140000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Jamaica,JAM,29000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Japan,JPN,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Jordan,JOR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Kazakhstan,KAZ,23000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Kenya,KEN,1500000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Kiribati,KIR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Korea, Dem. People’s Rep.",PRK,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Korea, Rep.",KOR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Kosovo,KSV,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Kuwait,KWT,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Kyrgyz Republic,KGZ,8100
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Lao PDR,LAO,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Late-demographic dividend,LTE,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Latin America & Caribbean,LCN,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Latin America & Caribbean (excluding high income),LAC,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Latvia,LVA,6800
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Least developed countries: UN classification,LDC,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Lebanon,LBN,2400
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Lesotho,LSO,310000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Liberia,LBR,30000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Libya,LBY,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Liechtenstein,LIE,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Lithuania,LTU,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Low & middle income,LMY,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Low income,LIC,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Lower middle income,LMC,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Luxembourg,LUX,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Macao SAR, China",MAC,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Macedonia, FYR",MKD,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Madagascar,MDG,48000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Malawi,MWI,980000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Malaysia,MYS,92000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Maldives,MDV,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Mali,MLI,120000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Malta,MLT,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Marshall Islands,MHL,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Mauritania,MRT,14000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Mauritius,MUS,8200
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Mexico,MEX,200000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Micronesia, Fed. Sts.",FSM,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Middle East & North Africa,MEA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Middle East & North Africa (excluding high income),MNA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Middle income,MIC,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Moldova,MDA,18000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Monaco,MCO,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Mongolia,MNG,500
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Montenegro,MNE,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Morocco,MAR,24000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Mozambique,MOZ,1500000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Myanmar,MMR,220000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Namibia,NAM,210000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Nauru,NRU,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Nepal,NPL,39000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Netherlands,NLD,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,New Caledonia,NCL,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,New Zealand,NZL,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Nicaragua,NIC,9900
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Niger,NER,49000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Nigeria,NGA,3500000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,North America,NAC,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Northern Mariana Islands,MNP,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Norway,NOR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,OECD members,OED,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Oman,OMN,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Other small states,OSS,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Pacific island small states,PSS,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Pakistan,PAK,100000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Palau,PLW,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Panama,PAN,17000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Papua New Guinea,PNG,40000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Paraguay,PRY,17000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Peru,PER,66000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Philippines,PHL,42000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Poland,POL,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Portugal,PRT,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Post-demographic dividend,PST,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Pre-demographic dividend,PRE,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Puerto Rico,PRI,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Qatar,QAT,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Romania,ROM,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Russian Federation,RUS,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Rwanda,RWA,200000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Samoa,WSM,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,San Marino,SMR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Sao Tome and Principe,STP,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Saudi Arabia,SAU,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Senegal,SEN,46000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Serbia,SRB,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Seychelles,SYC,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Sierra Leone,SLE,51000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Singapore,SGP,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Sint Maarten (Dutch part),SXM,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Slovak Republic,SVK,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Slovenia,SVN,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Small states,SST,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Solomon Islands,SLB,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Somalia,SOM,30000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,South Africa,ZAF,7000000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,South Asia,SAS,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,South Asia (IDA & IBRD),TSA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,South Sudan,SSD,180000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Spain,ESP,150000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Sri Lanka,LKA,4200
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,St. Kitts and Nevis,KNA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,St. Lucia,LCA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,St. Martin (French part),MAF,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,St. Vincent and the Grenadines,VCT,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Sub-Saharan Africa,SSF,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Sub-Saharan Africa (excluding high income),SSA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Sudan,SDN,56000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Suriname,SUR,3800
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Swaziland,SWZ,220000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Sweden,SWE,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Switzerland,CHE,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Syrian Arab Republic,SYR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Tajikistan,TJK,16000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Tanzania,TZA,1400000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Thailand,THA,440000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Timor-Leste,TMP,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Togo,TGO,110000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Tonga,TON,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Trinidad and Tobago,TTO,11000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Tunisia,TUN,2600
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Turkey,TUR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Turkmenistan,TKM,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Turks and Caicos Islands,TCA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Tuvalu,TUV,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Uganda,UGA,1500000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Ukraine,UKR,220000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,United Arab Emirates,ARE,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,United Kingdom,GBR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,United States,USA,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Upper middle income,UMC,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Uruguay,URY,10000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Uzbekistan,UZB,33000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Vanuatu,VUT,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Venezuela, RB",VEN,110000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Vietnam,VNM,260000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Virgin Islands (U.S.),VIR,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,West Bank and Gaza,WBG,..
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,World,WLD,36700000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,"Yemen, Rep.",YEM,9200
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Zambia,ZMB,1200000
Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Zimbabwe,ZWE,1400000
"Age at first marriage, female",SP.DYN.SMAM.FE,Afghanistan,AFG,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Albania,ALB,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Algeria,DZA,..
"Age at first marriage, female",SP.DYN.SMAM.FE,American Samoa,ASM,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Andorra,ADO,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Angola,AGO,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Antigua and Barbuda,ATG,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Arab World,ARB,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Argentina,ARG,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Armenia,ARM,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Aruba,ABW,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Australia,AUS,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Austria,AUT,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Azerbaijan,AZE,..
"Age at first marriage, female",SP.DYN.SMAM.FE,"Bahamas, The",BHS,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Bahrain,BHR,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Bangladesh,BGD,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Barbados,BRB,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Belarus,BLR,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Belgium,BEL,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Belize,BLZ,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Benin,BEN,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Bermuda,BMU,..
